Cocktail_Name,Liquor,Garnish,Glassware,Original_Source,Ingredient_1,Measurement_1,Ingredient_2,Measurement_2,Ingredient_3,Measurement_3,Ingredient_4,Measurement_4,Ingredient_5,Measurement_5,Ingredient_6,Measurement_6,Ingredient_7,Measurement_7,Ingredient_8,Measurement_8,Ingredient_9,Measurement_9,Ingredient_10,Measurement_10,Ingredient_11,Measurement_11,Ingredient_12,Measurement_12,Ingredient_13,Measurement_13,Ingredient_14,Measurement_14,Ingredient_15,Measurement_15,Instruction_1,Instruction_2,Instruction_3,Instruction_4,Instruction_5,Instruction_6,Instruction_7,Instruction_8,Instruction_9,Instruction_10,Instruction_11,Instruction_12,Instruction_13,Instruction_14,Instruction_15,Instruction_16,Instruction_17,Instruction_18,Instruction_19,Instruction_20,Instruction_21,Instruction_22,Instruction_23
Broadside,Rum,N/A,Highball glass,N/A,151 proof rum,1 shot,Scotch,1/2 shot,Bitters,3 drops,Wormwood,1 Fresh,Ice,cubes,,,,,,,,,,,,,,,,,,,,,1: Half fill the glass with ice cubes.,2: Crush the wormwood and add to ice.,,,,,,,,,,,,,,,,,,,,,
Buccaneer,Other,N/A,Beer pilsner,N/A,Corona,1 ,Bacardi Limon,1 shot ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently.,,,,,,,,,,,,,,,,,,,,,,
Brain Fart,Everclear,N/A,Punch bowl,N/A,Everclear,1 fifth ,Vodka,1 fifth Smirnoff red label ,Mountain Dew,2 L ,Surge,2 L ,Lemon juice,1 small bottle ,Rum,1 pint ,,,,,,,,,,,,,,,,,,,1: Mix all ingredients together.,2: Slowly and gently.,3: Works best if ice is added to punch bowl and soda's are very cold.,,,,,,,,,,,,,,,,,,,,
Blackthorn,Vermouth,N/A,Cocktail glass,N/A,Sweet Vermouth,1 oz ,Sloe gin,1 1/2 oz ,Lemon peel,1 twist of ,,,,,,,,,,,,,,,,,,,,,,,,,1: Stir sloe gin and vermouth with ice and strain into a cocktail glass.,2: Add the twist of lemon peel and serve.,,,,,,,,,,,,,,,,,,,,,
Bob Marley,Liqueur,N/A,Shot glass,N/A,Midori melon liqueur,1/2 oz ,Jägermeister,1/2 oz ,Goldschlager,1/2 oz ,,,,,,,,,,,,,,,,,,,,,,,,,1: Layer in a 2 oz shot glass or pony glass.,,,,,,,,,,,,,,,,,,,,,,
Bible Belt,Triple Sec,N/A,Highball glass,N/A,Southern Comfort,2 oz ,Triple sec,1/2 oz ,Lime,2 wedges ,Sour mix,2 oz ,,,,,,,,,,,,,,,,,,,,,,,"1: Mix all ingredients, and pour over ice.",,,,,,,,,,,,,,,,,,,,,,
Bubble Gum,Vodka,N/A,Shot glass,N/A,Vodka,1/4 ,Banana liqueur,1/4 ,Orange juice,1/4 ,Peach schnapps,1/4 ,,,,,,,,,,,,,,,,,,,,,,,1: Layer in order into a shot glass.,,,,,,,,,,,,,,,,,,,,,,
Bumble Bee,Baileys Irish Cream,N/A,Shot glass,N/A,Baileys irish cream,1/3 oz ,Kahlua,1/3 oz ,Sambuca,1/3 oz ,,,,,,,,,,,,,,,,,,,,,,,,,1: This is a layered shot.,2: First pour the Bailey's into the shot glass.,3: Then take an upside down spoon and touch it to the inside wall of the glass.,4: Carefully add the Kahlua.,5: Repeat this process for the Sambuca.,"6: If done properly, the alcohol will stay separated and resemble a bumble bee.",,,,,,,,,,,,,,,,,
Baby Eskimo,Other,N/A,Collins Glass,N/A,Kahlua,2 oz ,Milk,8 oz ,Vanilla ice-cream,2 scoops ,,,,,,,,,,,,,,,,,,,,,,,,,1: Leave ice-cream out for about 10 minutes.,"2: Add ingredients in order, stir with chopstick (butter knife or spoon works too).",3: Consume immediately and often.,"4: Nice and light, great for following a heavy drink.",,,,,,,,,,,,,,,,,,,
Boston Sour,Whiskey,N/A,Whiskey sour glass,N/A,Blended whiskey,2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Egg white,1 ,Lemon,1 slice ,Cherry,1 ,,,,,,,,,,,,,,,,,,,"1: Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass.","2: Add the slice of lemon, top with the cherry, and serve.",,,,,,,,,,,,,,,,,,,,,
