Cocktail_Name,Liquor,Garnish,Glassware,Original_Source,Ingredient_1,Measurement_1,Ingredient_2,Measurement_2,Ingredient_3,Measurement_3,Ingredient_4,Measurement_4,Ingredient_5,Measurement_5,Ingredient_6,Measurement_6,Ingredient_7,Measurement_7,Ingredient_8,Measurement_8,Ingredient_9,Measurement_9,Ingredient_10,Measurement_10,Ingredient_11,Measurement_11,Ingredient_12,Measurement_12,Ingredient_13,Measurement_13,Ingredient_14,Measurement_14,Ingredient_15,Measurement_15,Instruction_1,Instruction_2,Instruction_3,Instruction_4,Instruction_5,Instruction_6,Instruction_7,Instruction_8,Instruction_9,Instruction_10,Instruction_11,Instruction_12,Instruction_13,Instruction_14,Instruction_15,Instruction_16,Instruction_17,Instruction_18,Instruction_19,Instruction_20,Instruction_21,Instruction_22,Instruction_23
Moranguito,Absinthe,N/A,Shot glass,N/A,Absinthe,2/5 ,Tequila,2/5 ,Grenadine,1/5 ,,,,,,,,,,,,,,,,,,,,,,,,,"1: first you put rhe absinthe, then put tequila, then put the Granadine syrup.",,,,,,,,,,,,,,,,,,,,,,
Miami Vice,Rum,N/A,Cocktail glass,N/A,151 proof rum,5 oz Bacardi ,Pina colada mix,frozen ,Daiquiri mix,frozen ,,,,,,,,,,,,,,,,,,,,,,,,,1: First: Mix pina colada with 2.,2: 5 oz.,3: of rum with ice(set aside).,4: Second: Mix daiquiri with 2.,5: 5 oz.,6: of rum with ice.,"7: Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together).",,,,,,,,,,,,,,,,
Moscow Mule,Vodka,N/A,Copper Mug,N/A,Vodka,2 oz ,Lime juice,2 oz ,Ginger ale,8 oz ,,,,,,,,,,,,,,,,,,,,,,,,,1: Combine vodka and ginger beer in a highball glass filled with ice.,2: Add lime juice.,3: Stir gently.,4: Garnish.,,,,,,,,,,,,,,,,,,,
Mulled Wine,Wine,N/A,Collins Glass,N/A,Water,3 cups ,Sugar,1 cup ,Cloves,12 ,Cinnamon,2 ,Lemon peel,1 ,Red wine,750 ml ,Brandy,1/4 cup ,,,,,,,,,,,,,,,,,"1: Simmer 3 cups water with, sugar, cloves, cinnamon sticks, and lemon peel in a stainless steel pot for 10 minutes.","2: Add wine heat to a ""coffee temperature"" (DO NOT BOIL) then add the brandy.",,,,,,,,,,,,,,,,,,,,,
Munich Mule,Gin,N/A,Highball glass,N/A,Gin,5 cl,Lime Juice,2 cl,Ginger Beer,10 cl,Cucumber,Chopped,lemon,Chopped,,,,,,,,,,,,,,,,,,,,,"1: Fill glass with ice
Pour Gin and Lime Juice
Fill glass with Ginger Beer
Garnish with Cucumer and Lime slice.",,,,,,,,,,,,,,,,,,,,,,
Mocha-Berry,Liqueur,N/A,Irish coffee cup,N/A,Coffee,6 oz ,Chambord raspberry liqueur,2 oz ,Cocoa powder,2 tblsp ,Whipped cream,,,,,,,,,,,,,,,,,,,,,,,,1: pour 6 oz.,2: of coffee in a mug or Irish coffee cup.,"3: add coca mix and chambord, mix well and top off with whipped cream.",,,,,,,,,,,,,,,,,,,,
Mango Mojito,Rum,N/A,Jar,N/A,Lime,3,Mango,1 Fresh,Mint,Sprig,White Rum,200 ml,Ice,cubes,Soda Water,Top,Mango,Garnish with,,,,,,,,,,,,,,,,,1: Squeeze the juice from 1½ limes and blend with the mango to give a smooth purée.,"2: Cut the rest of the limes into quarters, and then cut each wedge in half again.",3: Put 2 pieces of lime in a highball glass for each person and add 1 teaspoon of caster sugar and 5-6 mint leaves to each glass.,4: Squish everything together with a muddler or the end of a rolling pin to release all the flavours from the lime and mint.,"5: Divide the mango purée between the glasses and add 30ml white rum and a handful of crushed ice to each one, stirring well to mix everything together.","6: Top up with soda water to serve and garnish with extra mint, if you like.",,,,,,,,,,,,,,,,,
Mojito Extra,Rum,N/A,Collins glass,N/A,Mint,1/2 handful ,Lemon juice,3 cl ,Dark rum,1/8 L Jamaican ,Club soda,1/8 L ,Angostura bitters,8 drops ,,,,,,,,,,,,,,,,,,,,,"1: Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda.",2: Top it with Angostura.,,,,,,,,,,,,,,,,,,,,,
Monkey Gland,Gin,N/A,Cocktail glass,N/A,Gin,2 oz ,Benedictine,1 tsp ,Orange juice,1/2 oz ,Grenadine,1 tsp ,,,,,,,,,,,,,,,,,,,,,,,"1: Shake well over ice cubes in a shaker, strain into a chilled cocktail glass.",,,,,,,,,,,,,,,,,,,,,,
Midnight Mint,Baileys Irish Cream,N/A,Cocktail glass,N/A,Baileys irish cream,1 oz ,White Creme de Menthe,3/4 oz ,Cream,3/4 oz double ,,,,,,,,,,,,,,,,,,,,,,,,,"1: If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder.",2: Add ingredients into shaker with ice.,3: Shake well then strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,
Mary Pickford,Rum,N/A,Cocktail glass,N/A,Light rum,1 1/2 oz ,Pineapple juice,1 oz ,Maraschino liqueur,1/2 tsp ,Grenadine,1/2 tsp ,Maraschino cherry,1 ,,,,,,,,,,,,,,,,,,,,,1: Shake and strain into a chilled large cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Monkey Wrench,Rum,N/A,Old-fashioned glass,N/A,Light rum,1 1/2 oz ,Grapefruit juice,3 oz ,Bitters,1 dash ,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes.,2: Stir well.,,,,,,,,,,,,,,,,,,,,,
Mother's Milk,Schnapps,N/A,Shot glass,N/A,Goldschlager,1 oz ,Butterscotch schnapps,1 oz ,Milk,1 oz ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Shake over ice, strain.",2: Serves two.,,,,,,,,,,,,,,,,,,,,,
Negroni,Gin,N/A,Old-fashioned glass,N/A,Gin,1 oz ,Campari,1 oz ,Sweet Vermouth,1 oz ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Stir into glass over ice, garnish and serve.",,,,,,,,,,,,,,,,,,,,,,
New York Sour,Whiskey,N/A,Whiskey sour glass,N/A,Blended whiskey,2 oz ,Lemon,Juice of 1/2 ,Sugar,1 tsp ,Red wine," (Claret)
",Lemon,,Cherry,,,,,,,,,,,,,,,,,,,,"1: Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass.",2: Float claret on top.,3: Decorate with the half-slice of lemon and the cherry and serve.,,,,,,,,,,,,,,,,,,,,
Nutty Irishman,Baileys Irish Cream,N/A,Highball Glass,N/A,Baileys irish cream,1 part ,Frangelico,1 part ,Milk,1 part ,,,,,,,,,,,,,,,,,,,,,,,,,1: Serve over ice.,,,,,,,,,,,,,,,,,,,,,,
National Aquarium,Rum,N/A,Collins Glass,N/A,Rum,1/2 oz ,Vodka,1/2 oz ,Gin,1/2 oz ,Blue Curacao,1/2 oz ,Sour mix,2 oz ,Lemon-lime soda,1 splash ,,,,,,,,,,,,,,,,,,,1: Pour all ingredients into a shaker of ice.,2: Shake well.,3: Serve on the rocks.,,,,,,,,,,,,,,,,,,,,
New York Lemonade,Other,N/A,Cocktail glass,N/A,Absolut Citron,2 oz ,Grand Marnier,1 oz ,Lemon juice,2 oz sweetened ,Club soda,1 oz ,,,,,,,,,,,,,,,,,,,,,,,1: Serve in a chilled cocktail glass.,2: Lemon and sugar the rim.,3: Stir and Strain.,,,,,,,,,,,,,,,,,,,,
Orgasm,Vodka,N/A,Cocktail glass,N/A,Creme de Cacao,1/2 oz white ,Amaretto,1/2 oz ,Triple sec,1/2 oz ,Vodka,1/2 oz ,Light cream,1 oz ,,,,,,,,,,,,,,,,,,,,,"1: Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Old Pal,Whiskey,N/A,Nick and Nora Glass,N/A,Rye whiskey,2 oz,Campari,1 oz,Dry Vermouth,1 oz,,,,,,,,,,,,,,,,,,,,,,,,,1: Chill cocktail glass.,"2: Add ingredients to a mixing glass, and fill 2/3 full with ice.",3: Stir about 20 seconds.,4: Empty cocktail glass and strain into the glass.,5: Garnish with a twist of lemon peel.,,,,,,,,,,,,,,,,,,
Orange Whip,Rum,N/A,Collins Glass,N/A,Orange juice,4 oz ,Rum,1 oz ,Vodka,1 oz ,Cream,1 package ,Ice,Over ,,,,,,,,,,,,,,,,,,,,,1: Pour ingredients over ice and stir.,,,,,,,,,,,,,,,,,,,,,,
Orange Crush,Vodka,N/A,Shot glass,N/A,Vodka,1 oz ,Triple sec,1 oz ,Orange juice,1 oz ,,,,,,,,,,,,,,,,,,,,,,,,,1: Add all ingredients to tumbler-Pour as shot.,,,,,,,,,,,,,,,,,,,,,,
Orange Oasis,Brandy,N/A,Highball glass,N/A,Cherry brandy,1/2 oz ,Gin,1 1/2 oz ,Orange juice,4 oz ,Ginger ale,,,,,,,,,,,,,,,,,,,,,,,,"1: Shake brandy, gin, and orange juice with ice and strain into a highball glass over ice cubes.","2: Fill with ginger ale, stir, and serve.",,,,,,,,,,,,,,,,,,,,,
Old Fashioned,Bourbon,N/A,Old-fashioned glass,N/A,Bourbon,4.5 cL,Angostura bitters,2 dashes,Sugar,1 cube,Water,dash,,,,,,,,,,,,,,,,,,,,,,,"1: Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water.",2: Muddle until dissolved.,3: Fill the glass with ice cubes and add whiskey.,"4: Garnish with orange twist, and a cocktail cherry.",,,,,,,,,,,,,,,,,,,
Oreo Mudslide,Vodka,N/A,Collins Glass,N/A,Vodka,1 oz ,Kahlua,1 oz ,Baileys irish cream,1 oz ,Vanilla ice-cream,2 scoops ,Oreo cookie,1 ,,,,,,,,,,,,,,,,,,,,,"1: Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender.",2: Pour into a large frosted glass.,3: Garnish with whipped cream and a cherry.,,,,,,,,,,,,,,,,,,,,
Oatmeal Cookie,Schnapps,N/A,Mason jar,N/A,Kahlua,2 parts,Baileys irish cream,2 parts,Butterscotch schnapps,4 parts,Jagermeister,1 part,Goldschlager,1/2 part,,,,,,,,,,,,,,,,,,,,,1: Just mix it all together.,"2: It's meant to be a shot, but it works just fine as a proper adult-sized drink over lots of ice.",3: Tastes like an oatmeal cookie.,,,,,,,,,,,,,,,,,,,,
Orange Push-up,Rum,N/A,Hurricane glass,N/A,Spiced rum,1.5 oz ,Grenadine,0.5 oz ,Orange juice,4 oz ,Sour mix,1 splash ,,,,,,,,,,,,,,,,,,,,,,,1: Combine liquors in a blender.,2: Add a half scoop of ice and blend.,3: Garnish with an orange and cherry flag.,,,,,,,,,,,,,,,,,,,,
Orange Rosemary Collins,Gin,N/A,Highball glass,N/A,Gin,1 shot,Orange Juice,Top,Lemon Juice,Top,Rosemary Syrup,25 ml,Soda Water,Top,Rosemary,Garnish with,Orange Peel,Garnish with,,,,,,,,,,,,,,,,,1: Add the spirits to the bottom of the glass and top equally with the mixer drinks.,2: Garnish with orange slices inside the glass as well as some rosemary on top.,,,,,,,,,,,,,,,,,,,,,
Owen's Grandmother's Revenge,Whiskey,N/A,Highball glass,N/A,Whiskey,12 oz ,Beer,12 oz ,Lemonade,12 oz frozen ,Ice,1 cup crushed ,,,,,,,,,,,,,,,,,,,,,,,1: Add ingredients and mix in blender.,,,,,,,,,,,,,,,,,,,,,,
Paloma,Tequila,N/A,Collins glass,N/A,Grape Soda,3 oz,Tequila,1 1/2 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Stir together and serve over ice.,,,,,,,,,,,,,,,,,,,,,,
Paradise,Gin,N/A,Cocktail glass,N/A,Gin,7 parts,Apricot Brandy,4 parts,Orange Juice,3 parts ,,,,,,,,,,,,,,,,,,,,,,,,,1: Shake together over ice.,2: Strain into cocktail glass and serve chilled.,,,,,,,,,,,,,,,,,,,,,
Pink Gin,Gin,N/A,White wine glass,N/A,Bitters,3 dashes ,Gin,2 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour the bitters into a wine glass.,"2: Swirl the glass to coat the inside with the bitters, shake out the excess.",3: Pour the gin into the glass.,4: Do not add ice.,,,,,,,,,,,,,,,,,,,
Pegu Club,Gin,N/A,Cocktail glass,N/A,Gin,1 1/2 oz,Orange Curacao,3/4 oz,Lime Juice,3/4 oz,Angostura Bitters,1 dash,Orange Bitters,1 dash,,,,,,,,,,,,,,,,,,,,,"1: Shake, strain, up, cocktail glass.",,,,,,,,,,,,,,,,,,,,,,
Pink Lady,Gin,N/A,Cocktail glass,N/A,Gin,1 1/2 oz ,Grenadine,1 tsp ,Light cream,1 tsp ,Egg white,1 ,,,,,,,,,,,,,,,,,,,,,,,"1: Shake all ingredients with ice, strain into a cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Pink Moon,Gin,N/A,Whiskey Glass,N/A,Gin,1 shot,Coconut Liqueur,1 shot,Elderflower cordial,25 ml,Lime Juice,30 ml,Blackberries,Garnish with,,,,,,,,,,,,,,,,,,,,,"1: Slowly shake in a shaker with ice, strain into a square whiskey glass.",2: Top with fresh ice.,3: Add the blackberries to garnish.,,,,,,,,,,,,,,,,,,,,
Penicillin,Scotch,N/A,Old-fashioned glass,N/A,Blended Scotch,2 oz,Lemon Juice,3/4 oz,Honey syrup,2 tsp,Ginger Syrup,2 tsp,Islay single malt Scotch,1/4 oz,,,,,,,,,,,,,,,,,,,,,"1: Shake blended Scotch, lemon juice, honey syrup and ginger syrup with ice.",2: Strain over large ice in chilled rocks glass.,3: Float smoky Scotch on top (be sure to use a smoky Scotch such as an Islay single malt).,4: Garnish with candied ginger.,,,,,,,,,,,,,,,,,,,
Pisco Sour,Pisco,N/A,Cocktail glass,N/A,Pisco,2 oz ,Lemon juice,1 oz ,Sugar,1-2 tblsp ,Ice,1,Egg White,,,,,,,,,,,,,,,,,,,,,,"1: Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.",,,,,,,,,,,,,,,,,,,,,,
Porto flip,Brandy,N/A,Cocktail glass,N/A,Brandy,3 parts,Port,9 parts,Egg Yolk,2 parts,,,,,,,,,,,,,,,,,,,,,,,,,1: Shake ingredients together in a mixer with ice.,"2: Strain into glass, garnish and serve.",,,,,,,,,,,,,,,,,,,,,
Pina Colada,Rum,N/A,Collins glass,N/A,Light rum,3 oz ,Coconut milk,3 tblsp ,Pineapple,3 tblsp ,,,,,,,,,,,,,,,,,,,,,,,,,1: Mix with crushed ice in blender until smooth.,"2: Pour into chilled glass, garnish and serve.",,,,,,,,,,,,,,,,,,,,,
Pink Penocha,Everclear,N/A,Punch bowl,N/A,Everclear,750 ml ,Vodka,1750 ml ,Peach schnapps,1750 ml ,Orange juice,1 gal ,Cranberry juice,1 gal ,,,,,,,,,,,,,,,,,,,,,1: mix all ingredients into bowl keep iced stir frequently.,,,,,,,,,,,,,,,,,,,,,,
Pure Passion,Rum,N/A,Whiskey sour glass,N/A,Rum,40 ml,Passoa,20 ml,Lime Juice,30 ml,Passion fruit syrup,15 ml,Peach Bitters,Dash,Mint,Garnish with,,,,,,,,,,,,,,,,,,,1: Mix up all ingredients with a cocktail stirrer and serve with crushed ice with mint and edible flour if available.,,,,,,,,,,,,,,,,,,,,,,
Popped cherry,Vodka,N/A,Highball glass,N/A,Vodka,2 oz ,Cherry liqueur,2 oz ,Cranberry juice,4 oz ,Orange juice,4 oz ,,,,,,,,,,,,,,,,,,,,,,,1: Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!.,,,,,,,,,,,,,,,,,,,,,,
Poppy Cocktail,Gin,N/A,Cocktail glass,N/A,Gin,1 1/2 oz ,Creme de Cacao,3/4 oz white ,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Shake ingredients with ice, strain into a cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Port Wine Flip,Other,N/A,Whiskey sour glass,N/A,Port,1 1/2 oz ,Light cream,2 tsp ,Powdered sugar,1 tsp ,Egg,1 whole ,Nutmeg,,,,,,,,,,,,,,,,,,,,,,1: Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass.,2: Sprinkle nutmeg on top and serve.,,,,,,,,,,,,,,,,,,,,,
Planter's Punch,Rum,N/A,Collins glass,N/A,Dark rum,1 part ,Orgeat syrup,1/2 part ,Orange juice,2 parts ,Pineapple juice,1 part ,,,,,,,,,,,,,,,,,,,,,,,"1: Pour all ingredients, except the bitters, into shaker filled with ice.",2: Shake well.,"3: Pour into large glass, filled with ice.","4: Add Angostura bitters, ""on top"".",5: Garnish with cocktail cherry and pineapple.,,,,,,,,,,,,,,,,,,
Pineapple Paloma,Tequila,N/A,Collins glass,N/A,Tequila,4 oz,Grapefruit Juice,4 oz,Fresh Lime Juice,1 oz,Pineapple Juice,8 oz,Lime,Garnish with,Pepper,Rimmed,,,,,,,,,,,,,,,,,,,1: Rub the rim of each glass with lime slice and dip into salt.,"2: Add ice, tequila, grapefruit juice, lime juice and top with pineapple soda.",3: Give it a quick stir.,4: Garnish with fresh pineapple or lime.,,,,,,,,,,,,,,,,,,,
Pornstar Martini,Vodka,N/A,Cocktail glass,N/A,Vodka,3 cl,Passoa,3 cl,Passion fruit juice,1 cl,Lime,1 cl,Prosecco,1 shot,,,,,,,,,,,,,,,,,,,,,1: Straight: Pour all ingredients into mixing glass with ice cubes.,2: Shake well.,3: Strain in chilled martini cocktail glass.,4: Cut passion fruit in half and use as garnish.,5: Pour prosecco into a chilled shot glass and serve alongside the martini.,,,,,,,,,,,,,,,,,,
Planter’s Punch,Rum,N/A,Highball glass,N/A,Dark Rum,4.5 cL,Orange Juice,3 cl,Pineapple Juice,3.5 cl,Grenadine,1 cl,Sugar Syrup,1 cl,Angostura Bitters,4 drops,,,,,,,,,,,,,,,,,,,1: Squeeze an orange and strain the juice.,2: Put all the ingredients in a shaker filled with ice and shake for at least 12 seconds.,3: Strain into a highball glass and decorate with a pineapple wedge or fruit of your choice.,,,,,,,,,,,,,,,,,,,,
Port And Starboard,Other,N/A,Pousse cafe glass,N/A,Grenadine,1 tblsp ,Green Creme de Menthe,1/2 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Pour carefully into a pousse-cafe glass, so that creme de menthe floats on grenadine.",2: Serve without mixing.,,,,,,,,,,,,,,,,,,,,,
Port Wine Cocktail,Brandy,N/A,Cocktail glass,N/A,Port,2 1/2 oz ,Brandy,1/2 tsp ,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Stir ingredients with ice, strain into a cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Pink Panty Pulldowns,Vodka,N/A,Collins Glass,N/A,Sprite,1 L ,Pink lemonade,2 cups ,Vodka,2 cups ,,,,,,,,,,,,,,,,,,,,,,,,,1: Shake well.,,,,,,,,,,,,,,,,,,,,,,
Passion Fruit Martini,Vodka,N/A,Cocktail glass,N/A,Vodka,1 shot,Sugar Syrup,1/2 shot,Passion fruit juice,Full Glass,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour all ingredients into a glass and stir.,2: Garnish with half a passion fruit piece.,,,,,,,,,,,,,,,,,,,,,
Quentin,Rum,N/A,Cocktail glass,N/A,Dark rum,1 1/2 oz ,Kahlua,1/2 oz ,Light cream,1 oz ,Nutmeg,1/8 tsp grated ,,,,,,,,,,,,,,,,,,,,,,,"1: In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream.",2: Shake well.,3: Strain into a cocktail glass and garnish with the nutmeg.,,,,,,,,,,,,,,,,,,,,
Queen Bee,Brandy,N/A,Cocktail glass,N/A,Coffee brandy,1 oz ,Lime vodka,1 1/2 oz ,Sherry,1/2 oz cream ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Shake all ingredients with ice, strain into a cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Quick F**K,Liqueur,N/A,Shot glass,N/A,Kahlua,1 part ,Midori melon liqueur,1 part ,Baileys irish cream,1 part ,,,,,,,,,,,,,,,,,,,,,,,,,1: In a shot glass add 1/3 Kahlua first.,,,,,,,,,,,,,,,,,,,,,,
Quick-sand,Other,N/A,Highball glass,N/A,Black Sambuca,25 ml ,Orange juice,Add 250 ml ,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice.",,,,,,,,,,,,,,,,,,,,,,
Queen Charlotte,Wine,N/A,Collins glass,N/A,Red wine,2 oz ,Grenadine,1 oz ,Lemon-lime soda,,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour red wine and grenadine into a collins glass over ice cubes.,"2: Fill with lemon-lime soda, stir, and serve.",,,,,,,,,,,,,,,,,,,,,
Queen Elizabeth,Vermouth,N/A,Cocktail glass,N/A,Dry Vermouth,1/2 oz ,Gin,1 1/2 oz ,Benedictine,1 1/2 tsp ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Stir all ingredients with ice, strain into a cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Quaker's Cocktail,Rum,N/A,Cocktail glass,N/A,Light rum,3/4 oz ,Brandy,3/4 oz ,Lemon,Juice of 1/4 ,Raspberry syrup,2 tsp ,,,,,,,,,,,,,,,,,,,,,,,"1: Shake all ingredients with ice, strain into a cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Quarter Deck Cocktail,Rum,N/A,Cocktail glass,N/A,Light rum,1 1/2 ,Sherry,1/3 oz cream ,Lime,Juice of 1/2 ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Stir all ingredients with ice, strain into a cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Rose,Vermouth,N/A,Cocktail glass,N/A,Dry Vermouth,1/2 oz ,Gin,1 oz ,Apricot brandy,1/2 oz ,Lemon juice,1/2 tsp ,Grenadine,1 tsp ,Powdered sugar,,,,,,,,,,,,,,,,,,,,"1: Shake together in a cocktail shaker, then strain into chilled glass.",2: Garnish and serve.,,,,,,,,,,,,,,,,,,,,,
Radler,Beer,N/A,Highball glass,N/A,Beer,12 oz ,7-Up,12 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Pour beer into large mug, slowly add the 7-up (or Sprite).",,,,,,,,,,,,,,,,,,,,,,
Rum Sour,Rum,N/A,Whiskey sour glass,N/A,Light rum,2 oz ,Lemon juice,1 oz ,Sugar,1/2 tsp superfine ,Orange,1 ,Maraschino cherry,1 ,,,,,,,,,,,,,,,,,,,,,"1: In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar.",2: Shake well.,3: Strain into a sour glass and garnish with the orange slice and the cherry.,,,,,,,,,,,,,,,,,,,,
Rum Punch,Rum,N/A,Punch bowl,N/A,Rum,mikey bottle ,Ginger ale,large bottle ,Fruit punch,355 ml frozen ,Orange juice,355 ml frozen ,Ice,crushed ,,,,,,,,,,,,,,,,,,,,,1: Mix all ingredients in a punch bowl and serve.,,,,,,,,,,,,,,,,,,,,,,
Rum Toddy,Rum,N/A,Old-fashioned glass,N/A,Rum,2 oz light or dark ,Powdered sugar,2 tsp ,Lemon peel,1 twist of ,Water,2 tsp ,,,,,,,,,,,,,,,,,,,,,,,1: Dissolve powdered sugar in water in an old-fashioned glass.,2: Add rum and one ice cube and stir.,3: Add the twist of lemon peel and serve.,,,,,,,,,,,,,,,,,,,,
Royal Fizz,Gin,N/A,Collins glass,N/A,Gin,1 oz ,Sweet and sour,2 oz ,Egg,1 whole ,Coca-Cola,,,,,,,,,,,,,,,,,,,,,,,,1: Shake all ingredients (except cola) with ice and strain into a chilled collins glass.,2: Fill with cola and serve.,,,,,,,,,,,,,,,,,,,,,
Rum Cooler,Rum,N/A,Collins glass,N/A,Rum,2 oz light or dark ,Lemon-lime soda,4 oz ,Lemon,1 ,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour the rum and soda into a collins glass almost filled with ice cubes.,2: Stir well and garnish with the lemon wedge.,,,,,,,,,,,,,,,,,,,,,
Rum Runner,Rum,N/A,Cocktail glass,N/A,Malibu rum,1 1/2 oz ,Blackberry brandy,1 oz ,Orange juice,3-4 oz ,Pineapple juice,3-4 oz ,Cranberry juice,3-4 oz ,,,,,,,,,,,,,,,,,,,,,1: Mix all ingredients in glass & add ice.,,,,,,,,,,,,,,,,,,,,,,
Rusty Nail,Scotch,N/A,Old-fashioned glass,N/A,Scotch,1 1/2 oz ,Drambuie,1/2 oz ,Lemon peel,1 twist of ,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes.,2: Stir well.,3: Garnish with the lemon twist.,,,,,,,,,,,,,,,,,,,,
Red Snapper,Other,N/A,Old-fashioned glass,N/A,Crown Royal,1 shot ,Amaretto,1 shot ,Cranberry juice,1 shot ,,,,,,,,,,,,,,,,,,,,,,,,,"1: One shot each, shake n shoot.",,,,,,,,,,,,,,,,,,,,,,
Royal Bitch,Other,N/A,Shot glass,N/A,Frangelico,1 part ,Crown Royal,1 part ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Into a shot glass layer the Crown Royal on top of the Frangelico.,,,,,,,,,,,,,,,,,,,,,,
Royal Flush,Schnapps,N/A,Old-fashioned glass,N/A,Crown Royal,1 1/2 oz ,Peach schnapps,1 oz ,Chambord raspberry liqueur,1/2 oz ,Cranberry juice,1 oz ,,,,,,,,,,,,,,,,,,,,,,,1: Pour all the ingredients into tumbler over ice.,2: Strain into glass.,,,,,,,,,,,,,,,,,,,,,
Rum Cobbler,Rum,N/A,Old-fashioned glass,N/A,Sugar,1 tsp superfine ,Club soda,3 oz ,Lemon,1 ,Dark rum,2 oz ,Maraschino cherry,1 ,Orange,1 ,,,,,,,,,,,,,,,,,,,"1: In an old-fashioned glass, dissolve the sugar in the club soda.",2: Add crushed ice until the glass is almost full.,3: Add the rum.,4: Stir well.,5: Garnish with the cherry and the orange and lemon slices.,,,,,,,,,,,,,,,,,,
Ruby Tuesday,Gin,N/A,Highball glass,N/A,Gin,2 oz ,Cranberry juice,5 oz ,Grenadine,2 splashes ,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour gin and cranberry into a highball filled with ice cubes.,2: Add grenadine and stir.,,,,,,,,,,,,,,,,,,,,,
Rosemary Blue,Gin,N/A,Balloon Glass,N/A,Gin,50 ml,Blue Curacao,15 ml,Tonic Water,100 ml,Rosemary,Garnish with,,,,,,,,,,,,,,,,,,,,,,,"1: 1) Add the Bombay Sapphire, Blue Curacao, rosemary sprig and gently squeezed lemon wedge to a balloon glass.",2: Swirl well to combine.,3: 2) Fill with cubed ice and top with the Fever-Tree Light Tonic Water.,4: 3) Gently fold with a bar spoon to mix.,,,,,,,,,,,,,,,,,,,
Ramos Gin Fizz,Gin,N/A,Highball glass,N/A,Gin,4.5 cL,Lemon Juice,3 cl,Sugar Syrup,3 cl,Cream,6 cl,Egg White,1,Vanilla extract,2 drop,Soda Water,2 cl,,,,,,,,,,,,,,,,,"1: Prepare all the ingredients on the counter to be able to work well and quickly, especially the cream and egg white.",2: Pour all the ingredients into a shaker.,"3: Shake vigorously for 1 minute: cream and egg white must be mixed perfectly, so don't rush.",4: Now open the shaker and put some ice and shake for 1-2 minutes.,"5: It depends on how long you can resist!

Pour into a highball glass, add a splash of soda and garnish to taste.","6: Ramos Gin Fizz was once drunk as an invigorating drink or even as a breakfast, try it as an aperitif and after dinner and you will discover a little gem now lost.",,,,,,,,,,,,,,,,,
Royal Gin Fizz,Gin,N/A,Highball glass,N/A,Gin,2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Egg,1 whole ,Carbonated water,,,,,,,,,,,,,,,,,,,,,,1: Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes.,"2: Fill with carbonated water, stir, and serve.",,,,,,,,,,,,,,,,,,,,,
